0,1,2,3,4
5.0431743,3.378005,1.4607067,0.27319953,0.9830496
5.0286994,3.4595306,1.3729535,0.22497931,0.9880492
5.037495,3.3728058,1.4565952,0.2742539,0.99137825
4.9167743,3.2704582,1.3881706,0.26574022,0.9850657
5.215484,3.6125495,1.490041,0.25589865,0.9869662
5.2535906,3.6967776,1.4255852,0.2747517,1.0118265
5.1242576,3.516711,1.4809744,0.25782913,1.0125424
5.2645845,3.8835056,1.4061866,0.20756292,1.0024104
5.0681915,3.4636822,1.3869749,0.24988191,0.9904167
5.025701,3.2390077,1.4809502,0.27027708,1.0162479
5.2982283,3.5891962,1.4963338,0.27343565,1.0075352
4.8610964,3.1677732,1.4003788,0.1649899,1.0118886
