0,1,2,3,4,5,6,7,8
0.44921207,0.44992295,0.54313743,0.25321022,0.48687977,-0.003935148,0.48014015,0.32025486,0.9996704
0.47411186,0.46124616,0.5475483,0.21651678,0.4906745,-0.0015640862,0.50992274,0.31254736,1.0001708
0.46518695,0.47456244,0.5299548,0.21913317,0.49635828,-0.00082223566,0.4658608,0.27112088,1.0008218
0.51408273,0.4484567,0.5463423,0.23974438,0.50196165,0.0011455,0.49964246,0.3249787,1.0020772
0.5018847,0.4055546,0.530987,0.28843564,0.5103899,0.0070205024,0.4734175,0.36181948,1.0073824
0.50145656,0.4544126,0.5304469,0.18701543,0.5021214,0.003677036,0.4962395,0.28844374,0.99996966
0.434514,0.42845553,0.52038157,0.23488039,0.4910982,0.0013381422,0.48904568,0.3521632,0.9994118
0.4053233,0.4724561,0.51162225,0.25408262,0.49485356,-5.924405e-05,0.45427838,0.33713028,1.0028282
0.40021577,0.48661134,0.5238307,0.22290786,0.48815587,0.0032887452,0.51073307,0.34428564,1.0033102
0.4450833,0.43642414,0.52951336,0.22640935,0.5114642,0.0034821772,0.48781455,0.28468812,1.0014044
0.42413124,0.48210752,0.5371884,0.20871903,0.48947826,0.004903714,0.5434811,0.37500018,1.0018746
0.46552107,0.4069707,0.52312434,0.24871132,0.4972299,0.0030297444,0.49601224,0.33051896,1.0004991
0.46358824,0.44648826,0.54456973,0.23114267,0.50342506,0.0029128746,0.5086157,0.3645174,0.9994025
0.42853582,0.4683003,0.52838075,0.2537757,0.51370263,0.0022803724,0.4947131,0.43928444,0.99811107
0.40345827,0.51157326,0.5127067,0.26119915,0.48460177,0.0011482716,0.4426932,0.42092255,1.0017926
0.47806108,0.44380647,0.5473051,0.24042234,0.5072445,0.001251477,0.49801305,0.30621693,1.0026156
0.46640164,0.44450882,0.52531403,0.2403898,0.4953771,0.002240903,0.4677394,0.3046634,1.0023531
0.47694135,0.48387593,0.53541,0.24765833,0.50561726,0.0013997585,0.47410497,0.31516993,1.0010898
0.42586854,0.45945036,0.5322225,0.24059053,0.49282217,0.0013178617,0.47883713,0.38532764,0.9976233
0.4669139,0.49827498,0.5224816,0.24526441,0.4966363,0.003044057,0.49603876,0.3342928,0.99932456
0.3993259,0.4277074,0.5293768,0.31283846,0.49315083,0.010583608,0.52842855,0.42530113,0.9862319
0.47475696,0.4434266,0.53938836,0.22885808,0.50021476,0.0022845597,0.49116537,0.25733265,1.0045469
0.47356758,0.4725871,0.5473868,0.2314356,0.5048173,0.0019660548,0.49048582,0.33756104,1.0041806
