0,1,2,3,4
4.7657304,2.881287,1.4459702,0.18711069,1.0354702
5.2007265,3.7455597,1.4985361,0.35589314,1.0041933
4.996827,3.434872,1.4981947,0.29207173,1.0557569
5.2143307,3.7921154,1.4982578,0.27644706,0.97391176
4.9032674,3.123845,1.2632625,0.17947654,1.0643525
5.232708,3.7045698,1.5539896,0.24722679,0.98061484
5.0245295,3.5210142,1.4032997,0.23449548,1.0049531
4.582466,2.601566,1.3418564,0.25220004,1.0762116
5.005206,3.4507449,1.3267651,0.12372925,0.9917588
5.070317,3.4621148,1.2928778,0.29390875,0.99636626
5.039958,3.6615725,1.5479811,0.19097877,0.9751265
4.995412,3.5285847,1.3827541,0.28758454,0.97811073
