0,1,2,3,4
5.4326205,3.723527,1.6796339,0.44673094,0.97819924
5.0386887,3.4593384,1.5677583,0.23920384,0.99354863
5.259635,3.3517537,1.586974,0.28292426,0.99773353
5.2590017,3.6430385,1.7314839,0.30311307,1.0047437
5.1840143,3.4965289,1.5153052,0.27646104,0.9929901
5.220343,3.493246,1.5131865,0.32330856,1.0185045
4.92497,3.4638984,1.4970474,0.19599353,0.981711
5.0159535,3.36846,1.4269848,0.23455268,0.99321693
4.43943,2.9544072,1.1111116,0.026546074,1.0268451
4.842368,3.4726682,1.2860876,0.19420269,0.9816426
5.4848604,3.9770632,1.7086563,0.48994362,0.9818605
4.7281637,3.142677,1.3673446,0.09062987,1.0127131
