0,1,2,3,4,5,6,7
0.59800184,0.45788276,0.49038416,0.49904966,0.5865625,0.7565549,0.8095443,0.004866887
0.55895096,0.5378585,0.49912938,0.48711056,0.56454223,0.7366945,0.7020745,0.02622557
0.5156186,0.4440419,0.4922645,0.50691706,0.5670879,0.77732104,0.78723407,0.020607699
0.5827706,0.4651939,0.46458408,0.5227998,0.57374203,0.74742204,0.7902301,-0.0145550035
0.5334965,0.5394814,0.46354228,0.48271978,0.50655776,0.7449601,0.6562533,-0.065056354
0.48027188,0.52334857,0.47930115,0.5112459,0.53371614,0.7714329,0.695615,0.019669909
0.53538924,0.44138286,0.47843897,0.5040065,0.54747117,0.7732067,0.7891837,0.00014196709
0.5431051,0.50391436,0.46731484,0.50579995,0.5527764,0.75078505,0.7292066,-0.007197704
0.59725,0.41025123,0.4821536,0.50653994,0.602808,0.7731197,0.8634603,-0.0017970316
0.5657001,0.5183156,0.47309026,0.5060449,0.5231073,0.80176216,0.79915094,-0.0077622794
0.56977004,0.51723254,0.47138694,0.4934693,0.5487343,0.74275035,0.7313445,-0.030867856
0.64212507,0.43574175,0.47106317,0.5011639,0.5585657,0.7697659,0.82914704,-0.054529708
0.647172,0.3968984,0.47036633,0.5101828,0.60296476,0.72617805,0.8180153,-0.053846482
0.6156211,0.48785082,0.44471768,0.4909407,0.4853781,0.81016403,0.8162265,-0.0993377
0.5789949,0.44344938,0.49851748,0.49645844,0.5948926,0.7320394,0.76770526,0.008519057
0.5617887,0.4537874,0.50435054,0.48761123,0.53953475,0.7771492,0.7755799,-0.0090457015
0.51947564,0.49342063,0.48189637,0.50112206,0.58589137,0.7442777,0.74423814,0.020845134
0.53642166,0.4949337,0.49128386,0.4830935,0.54924524,0.7621113,0.7466036,-0.0011723898
0.59094584,0.44134152,0.48624945,0.5096429,0.6041443,0.72979015,0.7742699,0.009001408
0.54557544,0.5111446,0.47018436,0.49792075,0.515996,0.7882491,0.769502,-0.014346849
