0,1,2,3,4,5,6,7
0.44244307,0.5001893,0.5588203,0.4907313,0.48209417,0.7176117,0.5051217,0.010984801
0.58092856,0.46476203,0.47909045,0.48899817,0.6260748,0.81216866,0.9731922,0.020268995
0.66219246,0.706873,0.57756525,0.5016299,0.655455,0.6934737,0.6469474,-0.02209289
0.62591475,0.3826693,0.6179403,0.54624057,0.5767307,0.7991167,0.8170545,-0.037312474
0.47667223,0.54373187,0.49131384,0.52491957,0.5565306,0.7669215,0.6503506,-0.009625085
0.4289136,0.51680255,0.4765906,0.49410477,0.5147486,0.7507539,0.84528124,0.021628369
0.63367295,0.6061333,0.5332647,0.5059169,0.60084796,0.7471648,0.7130717,0.014673039
0.35914457,0.52970934,0.5027195,0.49623093,0.53570914,0.7360926,0.5043026,-0.038322594
0.54972404,0.41619867,0.39876482,0.49848557,0.5427027,0.8617649,0.7846627,0.0017593782
0.5577942,0.5069459,0.38833815,0.50434,0.5923384,0.8352093,0.88280296,0.035374783
0.8062373,0.71620387,0.61057127,0.5073262,0.6765186,0.70292044,0.716146,-0.024543326
0.48072234,0.38752168,0.42962497,0.50817394,0.5614845,0.84823596,0.8431381,-0.0036087036
0.5314602,0.6947261,0.57367754,0.48284957,0.61605376,0.6660219,0.5965909,-0.033432398
0.4092205,0.50862336,0.4378533,0.51147,0.5109786,0.78856385,0.626766,-0.026980817
0.59732425,0.50038373,0.5191604,0.50760037,0.6304833,0.7892598,0.74029815,-0.010739852
0.28671926,0.51579845,0.43520713,0.5099597,0.43059167,0.72993183,0.84493244,0.0053917505
0.6126974,0.47025862,0.36166012,0.48507136,0.59557754,0.8530819,0.9036168,0.041192118
0.6550865,0.5188445,0.5525781,0.5150176,0.56143737,0.77317196,0.7485351,-0.0005752407
