0,1,2,3,4,5,6,7
0.44503406,0.52961254,0.50884193,0.48472437,0.50723684,0.7482994,0.7261526,0.040587403
0.5475828,0.4912874,0.47973943,0.51869273,0.53584576,0.75684017,0.736039,0.031979576
0.5137437,0.5042092,0.47838324,0.49232727,0.52138036,0.7588843,0.73063403,0.011241723
0.5245761,0.47076666,0.49585298,0.51193005,0.5337164,0.720283,0.67992663,0.010743279
0.51387316,0.45872396,0.4863877,0.5226014,0.5451225,0.7065319,0.6824653,-0.0022588484
0.51434267,0.46045256,0.48089042,0.52032334,0.47566748,0.71903944,0.69763803,0.001168441
0.524426,0.47523302,0.48513466,0.49517488,0.5071282,0.72434294,0.69846475,0.009129345
0.53077525,0.51129013,0.48678294,0.49618885,0.54017353,0.78342503,0.76805216,0.020675372
0.53102374,0.5066829,0.46919808,0.49959296,0.49704286,0.7679243,0.74232966,0.018516105
0.5333268,0.48358345,0.4949821,0.51573205,0.49453378,0.7447715,0.7447727,0.03936516
0.46948865,0.50925726,0.47529575,0.47091413,0.5332739,0.7338806,0.68442464,-0.004924413
0.56128895,0.50092465,0.4670464,0.5018407,0.5095881,0.7827575,0.78666776,0.02444015
0.57607305,0.46458787,0.52161944,0.52175045,0.5238584,0.7311307,0.7096614,0.055411004
0.55707926,0.44375685,0.48962986,0.5421242,0.47097462,0.7140475,0.7092132,0.038068563
0.49921218,0.5064491,0.44892818,0.48399737,0.5343851,0.7576507,0.7327338,-0.0012612902
0.5016097,0.4800763,0.48255083,0.49996027,0.56416136,0.73826575,0.69739217,-0.018760972
0.51742107,0.52395886,0.4863206,0.5020837,0.5075819,0.8111503,0.8118896,0.029466972
0.44270656,0.52153176,0.47294223,0.47710857,0.6036733,0.77285933,0.67053497,-0.00396169
0.5310665,0.4605221,0.49544376,0.5209145,0.5223866,0.73853976,0.7119176,-0.0039129965
0.5401445,0.4788516,0.5141133,0.51834357,0.5477228,0.7410916,0.7190817,0.037433412
