0,1,2,3,4
4.8654437,3.5909586,1.2255163,0.3200395,1.0057585
4.947763,3.6902525,1.4043299,0.25714114,0.9756733
5.705524,3.7027454,1.4546936,0.23384249,0.9622239
4.8606014,3.27175,1.2798998,0.1313173,0.98834753
5.508558,3.66788,1.5930015,0.2083034,1.028811
4.6062,3.504928,1.2252003,0.19104163,1.0224297
4.3451214,3.120781,1.1533247,0.14639375,0.9901567
5.0924683,3.3991516,1.2552367,0.28610632,1.0144506
5.208716,3.9249728,1.5224319,0.42268103,0.98378867
5.8609514,3.9723365,1.6120754,0.26889834,1.0177827
5.6337276,4.0304036,1.6529183,0.26756194,1.0412825
