0,1,2,3,4,5,6,7,8,9
1.51812068,13.4299,3.97814,1.17917,72.4924,0.57753,8.152280000000001,0.0,0.0,1
1.51652608,13.5629,3.56955,1.47128,72.4476,0.63963,7.9586,0.0,0.0,1
1.5159338,13.25035,3.44832,1.42955,73.17,0.60858,7.86176,0.0,0.0,1
1.51711836,12.89125,3.61894,1.57079,72.9572,0.60858,8.10924,0.0,0.0,1
1.5184396,13.25035,3.75813,1.32041,72.4028,0.57753,8.42128,0.0,0.0,1
1.51841682,13.0176,3.61894,1.0604,72.3412,0.63963,9.13144,0.0,0.0765,1
1.51818902,12.6186,2.76135,0.8292799999999999,73.8084,0.34776,9.42196,0.0,0.102,1
1.51805234,12.99765,3.79854,1.07966,73.0692,0.5589,8.37824,0.0,0.0612,1
1.51686778,13.2304,3.53812,1.48091,72.8396,0.5589,8.09848,0.0,0.0,1
1.5170728,13.4831,3.47975,1.70882,72.5204,0.621,7.9908800000000015,0.0,0.0,1
1.52019366,13.98185,1.35149,1.62857,71.7588,0.39123,10.56252,0.0,0.51,1
1.5166171999999998,12.85135,3.5111800000000004,1.43918,73.0076,0.6831,8.2276,0.5985,0.1275,1
1.51709558,12.99765,3.47077,1.7890700000000002,72.722,0.6582600000000001,8.184560000000001,0.0,0.0,1
1.5159338,13.09075,3.592,1.5194299999999998,73.0972,0.67068,7.82948,0.0,0.0,1
1.51743728,12.19965,3.25076,1.15991,73.5508,0.621,8.89472,0.0,0.1224,1
1.51591102,13.23705,3.34056,1.47128,73.0972,0.39123,8.21684,0.0,0.0,1
1.51645774,13.4033,3.4887300000000003,1.5194299999999998,72.6492,0.67068,8.07696,0.0,0.051,1
1.52474966,11.4482,0.0,1.87895,72.19,0.8073,13.24176,0.0,0.1734,1
1.51591102,13.0176,3.57853,1.5098,73.1196,0.6893100000000001,7.9586,0.0,0.0,1
1.51828014,13.23705,3.90181,1.41029,72.33,0.55269,8.31368,0.0,0.051,1
1.51618438,13.01095,3.5022,1.48091,72.89,0.60237,8.12,0.0,0.0,1
1.51645774,13.40995,3.55159,1.24979,72.8116,0.6831,8.09848,0.0,0.0,1
1.51588824,13.11735,3.40791,1.5804200000000002,73.2596,0.06831,8.389,0.0,0.0969,1
1.51800678,13.7092,3.92875,1.53869,71.8092,0.54027,8.20608,0.0,0.0765,1
1.5162755,12.99765,3.57853,1.53869,72.8284,0.60858,8.04468,0.0,0.0,1
1.51859906,13.35675,3.43036,1.42955,72.2628,0.50922,8.6042,0.0,0.0,1
1.51645774,13.4432,3.60996,1.53869,72.3916,0.6582600000000001,8.03392,0.0,0.0,1
1.51572878,14.85965,3.66833,1.74092,71.8708,0.16146,7.356039999999999,0.0,0.0612,1
1.51846238,13.0974,3.96916,1.1888,72.442,0.60237,8.432039999999999,0.0,0.0,1
1.51625272,13.35675,3.57853,1.49054,72.722,0.44712,8.20608,0.0,0.0,1
1.51613882,13.922,3.52016,1.24979,72.8788,0.3726,7.93708,0.0,0.0714,1
1.51591102,12.8181,3.52016,1.90142,72.862,0.6893100000000001,7.969360000000001,0.0,0.0,1
1.5163893999999998,12.5521,3.47975,1.86932,73.2316,0.62721,8.07696,0.0,0.459,1
1.53393,12.2994,0.0,0.99941,70.1628,0.11799,16.19,0.0,0.1224,1
1.52222108,14.4274,0.0,0.99941,72.6716,0.09936,11.52016,0.0,0.0408,1
1.51841682,12.93115,3.74017,1.10855,72.2796,0.63963,8.95928,0.0,0.1122,1
1.51846238,13.40995,3.88834,1.33004,72.3804,0.50922,8.2814,0.0,0.0,1
1.5159338,13.09075,3.52016,1.55153,72.8676,0.6831,8.04468,0.0,0.459,1
1.51871296,12.93115,3.65935,1.56116,72.5092,0.57753,8.5504,0.0,0.0612,1
1.51629828,12.7117,3.33158,1.49054,73.282,0.67068,8.23836,0.0,0.0,1
1.52739214,11.0226,0.0,0.74903,73.0804,0.0,14.96336,0.0,0.0,1
1.51663998,12.93115,3.53812,1.61894,72.9572,0.63963,8.03392,0.0,0.1071,1
1.51812068,12.95775,2.95891,1.42955,72.918,0.60237,8.78712,0.1386,0.0,1
1.51891798,13.46315,3.82997,1.25942,72.5484,0.5713199999999999,8.20608,0.0,0.0714,1
1.51408862,14.24785,3.08912,2.08118,72.2796,1.09917,7.0762800000000015,0.0,0.0,1
1.51666276,12.9378,3.60996,1.25942,72.75,0.5589,8.6042,0.0,0.0,1
1.51848516,13.6427,3.87038,1.26905,71.9604,0.54027,8.32444,0.0,0.1632,1
1.5170728,13.7225,3.6818,1.81154,72.0612,0.63963,7.88328,0.0,0.0,1
1.52080872,13.78235,2.28092,1.42955,71.9884,0.49059,9.85236,0.0,0.0867,1
1.51812068,13.33015,3.84793,1.24979,72.778,0.52164,8.12,0.0,0.0,1
